meet_id,name,short_name,class,city,country,date_start,date_end,wa_competition_id,has_rounds,entry_list_method,prediction_cutoff,state,notes
glasgow2026,Commonwealth Games,Glasgow 2026,commonwealth,Glasgow,GBR,2026-07-27,2026-08-02,7187518,TRUE,manual,2026-07-23,scored,Athletics 27 Jul - 1 Aug. Scored; pages live under /multisport/.
birmingham2026,European Athletics Championships,Birmingham 2026,european_champs,Birmingham,GBR,2026-08-10,2026-08-16,7192415,TRUE,feed,2026-08-09,scored,44 individual events; 42 modellable. Marathon Race Walk has no registry event_id. Scored via score_meet.R; complete through 16 Aug.
lausanne2026,Wanda Diamond League - Athletissima,Lausanne,diamond_league,Lausanne,SUI,2026-08-21,2026-08-21,7214027,FALSE,none,2026-08-20,scored,14 disciplines. One-day meet; no rounds. Harvested 227 results; 25 races.
silesia2026,Wanda Diamond League - Silesia,Silesia,diamond_league,Chorzow,POL,2026-08-23,2026-08-23,7214026,FALSE,none,2026-08-22,scored,15 disciplines. One-day meet; no rounds. Harvested 258 results; 25 races.
zurich2026,Wanda Diamond League - Weltklasse,Zurich,diamond_league,Zurich,SUI,2026-08-27,2026-08-27,7214028,FALSE,none,2026-08-26,scored,14 disciplines. One-day meet; no rounds. Harvested 244 results; 22 races.
brussels2026,Wanda Diamond League Final,Brussels Final,diamond_league,Brussels,BEL,2026-09-04,2026-09-05,7214029,FALSE,none,2026-09-03,upcoming,32 events (16+16). Season finale; qualification decided over the three preceding meets. Feed name is "Allianz Memorial van Damme"; id verified 2026-08-31 via athletics_calendar().
budapest2026,World Athletics Ultimate Championship,Budapest 2026,world_other,Budapest,HUN,2026-09-11,2026-09-13,7212925,FALSE,none,2026-09-10,upcoming,28 events across three sessions. Finals only - no heats. Id verified 2026-08-31 via athletics_calendar(); official qualification field fetchable via WA's road-to endpoint (unlike DL meets).
